N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
0.28152492668621704,0.49662162162162166,0.5939349112426036,0.47321428571428553,0.6047904191616769,0.46875,0.3708142403947833,0.24817518248175185,0.007993605115907276,0.3253588516746412,0.44967320261437915,0.04716981132075472,0.4687500000000001,0.0
0.501466275659824,0.4222972972972973,0.2655325443786982,0.6160714285714284,0.7604790419161677,0.75,1.0,0.33576642335766427,0.051958433253397295,0.6937799043062202,0.145359477124183,1.0,0.7500000000000001,0.0
0.3548387096774194,0.5641891891891893,0.8276627218934911,0.5892857142857139,0.473053892215569,0.7890625,0.9629890729643991,0.33576642335766427,0.051958433253397295,0.7081339712918661,0.13542483660130722,1.0,0.7890625000000002,0.0
0.33724340175953077,0.37500000000000006,0.4681952662721893,0.6339285714285708,0.5568862275449102,0.65625,1.0,0.39416058394160597,0.026378896882494014,0.6889952153110048,0.13281045751633988,1.0,0.6562500000000002,0.0
0.6686217008797654,0.5844594594594595,0.4223372781065089,0.6249999999999996,0.3413173652694612,0.59375,0.7867465632710611,0.2627737226277373,0.04396482813749002,0.7655502392344498,0.12130718954248368,1.0,0.5937500000000002,0.5
0.5219941348973607,0.49662162162162166,0.4223372781065089,0.446428571428571,0.6407185628742517,0.484375,0.7796968628833274,0.4379562043795621,0.035971223021582746,0.38755980861244027,0.10875816993464053,1.0,0.4843750000000001,0.0
0.5219941348973607,0.4020270270270271,0.09393491124260354,0.6160714285714284,0.377245508982036,0.5546875,0.4765597462107861,0.39416058394160597,0.03836930455635492,0.4593301435406699,0.0988235294117647,1.0,0.5546875000000001,0.0
0.4838709677419355,0.38851351351351354,0.35872781065088755,0.6249999999999996,0.5688622754491018,0.46093749999999994,0.4906591469862531,0.36496350364963515,0.0375699440447642,0.25358851674641153,0.12130718954248368,1.0,0.46093750000000017,0.0
0.7243401759530792,0.49662162162162166,0.5939349112426036,0.5803571428571427,0.3892215568862276,0.44531250000000006,0.46951004582305256,0.8175182481751828,0.035971223021582746,0.40669856459330145,0.12130718954248368,1.0,0.44531250000000017,0.5
0.28152492668621704,0.46283783783783783,0.8587278106508875,0.5535714285714282,0.25748502994011985,0.53125,0.5893549524145224,0.9051094890510949,0.01598721023181455,0.507177033492823,0.13803921568627453,1.0,0.5312500000000001,0.0
0.3196480938416422,0.46283783783783783,0.5776627218934911,0.5892857142857139,0.40119760479041927,0.6796875,0.6316531547409235,0.9343065693430658,0.013589128697042369,0.5933014354066986,0.14013071895424836,1.0,0.6796875000000002,0.5
